Date,DISTRICT,mean
2011-01,Warangal,1.8312406059998927
2011-01,West Godavari,0.5876965036048005
2011-02,Adilabad,11.072329217211838
2011-02,Anantapur,0.008580430387781212
2011-02,Chittoor,1.4090348757119053
2011-02,Y.s.r.,0.13435873355587205
2011-02,East Godavari,7.420675092264113
2011-02,Guntur,5.188834739499075
2011-02,Hyderabad,11.390532068835876
2011-02,Karimnagar,12.192844565271402
2011-02,Khammam,10.153926594479836
2011-02,Krishna,9.401639047356344
2011-02,Kurnool,0.0
2011-02,Mahbubnagar,2.6369627995899374
2011-02,Medak,10.188631002915939
2011-02,Nalgonda,9.986793928457658
2011-02,Sri Potti Sriramulu Nellore,2.3014473409711886
